,DEIMOS_ID,ra,dec,sel,imag,kmag,zspec,Qf,Q,Remarks,fits1d,fits2d
0,L202441,150.22704,1.583884,160,20,19,0.345,4,2,"[OII]d,K,Hb,NaI,Ha,NIId,SIId","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m40be.023.Herschel_33248.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m40be.023.Herschel_33248.fits"">2D Fits spectrum</a>"
1,C1797605,150.808533,2.902927,128,19.85,23.07,0.365,14,2,"Hb(br),[OIII]d,Ha(br),NII,SiII","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.LAE-183.052.24_47873_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.LAE-183.052.24_47873.fits"">2D Fits spectrum</a>"
2,L329159,149.496458,1.789806,256,24.6,24.23,0.247,4,2,"[OIII]d,Ha","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.hzc-1.002.COSMOS.033_53.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.hzc-1.002.COSMOS.033_53.fits"">2D Fits spectrum</a>"
3,L385110,150.077576,1.875135,128,21.92,20.57,1.174,4,2,"MgII(abs),[OII],K,Hg","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-10.091.24_26885_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-10.091.24_26885.fits"">2D Fits spectrum</a>"
4,L421932,150.381638,1.932056,1,20.58,20.82,0.084,4,2,"Hb,[OIII]d,Ha,SII","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m27be.020.serendip.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m27be.020.cid_388.fits"">2D Fits spectrum</a>"
5,L452180,150.105194,1.981136,704,18.8,18.43,0.372,14,2,"[NeV],[OII],[NeIII],Hf,Hd,Hg,[OIII],HeII,Hb,[OIII]d,Ha,NIId(br+narrow)","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.COS-14.089.309_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.COS-14.089.309.fits"">2D Fits spectrum</a>"
6,L739170,150.100979,2.419435,960,22.68,20.83,4.6335,14,2,"Lya(br,abs),OI/SiII(br),SiIV(br),NIV(br),CIV(br,abs),HeII(br)","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.cos0.070.HiZELS-COSMOS-NB.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.cos0.070.HiZELS-COSMOS-NB.fits"">2D Fits spectrum</a>"
7,L636831,149.965454,2.265508,2,22.32,21.8,0.7512,4,2,"[OIII],[NeIII],Hf,He,Hd,Hg,Hb,[OIII]d","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.CLAE-1.064.Z-66-1644068_acal.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.CLAE-1.064.Z-66-1644068.fits"">2D Fits spectrum</a>"
8,L864422,149.70982,2.610581,128,21.73,20.52,0.828,4,2,"[OII]d,K,Hb","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m18bd.038.MIPS_17881.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m18bd.038.MIPS_17881.fits"">2D Fits spectrum</a>"
9,L301504,150.13773,1.743644,128,22.06,21.29,0.981,4,2,"[OII]d,H+K","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m36be.047.MIPS_11292.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m36be.047.MIPS_11292.fits"">2D Fits spectrum</a>"